geo,name,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,68.66667,69.33333,70,70,70.66667,70.66667,70.66667,70.66667,70.66667,71.33333,71.33333,68,68,71.33333,71.33333,71.33333,71.33333,72,71.33333,71.33333,71.33333,71.33333
bdi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53333,,,,,1.8,,,,,2.53333,,,,,3.53333,,,,,4.46667,,,,,5.8,,,,,7.26667,,,,,8.8,,,,,9.6,10,10,10,10.66667,10.66667,10.66667,11.33333,11.33333,12,12,12.66667,13.33333,14,14.66667,15.33333,16,16,16.66667,17.33333,17.33333,17.33333,18,18.66667,18.66667,19.33333,20,20
bel,Belgium,15.13333,,,,,14.53333,,,,,15.93333,,,,,17.26667,,,,,18.33333,,,,,18.13333,,,,,17.2,,,,,17.4,,,,,19.33333,,,,,20.26667,,,,,21.6,,,,,23.4,,,,,25.86667,,,,,29.06667,,,,,32.73333,,,,,36.93333,,,,,43.46667,,,,,45.73333,,,,,46.46667,,,,,46.66667,,,,,47.93333,,,,,50.13333,,,,,53.66667,,,,,57.2,,,,,60.66667,63.33333,63.33333,64,64.66667,64.66667,65.33333,65.33333,66,66.66667,66.66667,68,68.66667,69.33333,70,71.33333,74,74,73.33333,74,74,74.66667,74.66667,76,76.66667,78,78.66667,78.66667
ben,Benin,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.06667,,,,,0.13333,,,,,0.13333,,,,,0.2,,,,,0.2,,,,,0.93333,,,,,1.46667,,,,,2,,,,,2.53333,,,,,2.2,,,,,2.66667,,,,,3.13333,,,,,4.06667,,,,,4.2,,,,,4.26667,,,,,4.33333,,,,,7.26667,,,,,10.8,11.33333,12,12.66667,13.33333,14,14.66667,15.33333,16,16.66667,17.33333,17.33333,18,18,18,18.66667,18.66667,18.66667,18.66667,18.66667,18.66667,18.66667,20,21.33333,22,23.33333,24,24
bfa,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.66667,8.66667,8.66667,8.66667,8.66667,8.66667,8.66667,8.66667,9.33333,9.33333,9.33333,9.33333,9.33333,9.33333,9.33333,10,10
bgd,Bangladesh,0.06667,,,,,0.06667,,,,,0.13333,,,,,0.13333,,,,,0.13333,,,,,0.2,,,,,0.26667,,,,,0.33333,,,,,1.66667,,,,,2.6,,,,,3.53333,,,,,4.2,,,,,4.86667,,,,,5.33333,,,,,5.73333,,,,,6,,,,,6,,,,,6,,,,,6.06667,,,,,7.2,,,,,7.73333,,,,,7.86667,,,,,13.13333,,,,,16,,,,,18.93333,19.33333,20,20.66667,21.33333,22,23.33333,24,25.33333,26,27.33333,28.66667,28.66667,29.33333,30,30,30.66667,31.33333,32,32,32.66667,34,34,34,34.66667,34.66667,34.66667,38.66667
bgr,Bulgaria,6.13333,,,,,6.26667,,,,,6.46667,,,,,6.6,,,,,6.8,,,,,7.86667,,,,,8.86667,,,,,9.66667,,,,,10.53333,,,,,12.93333,,,,,14.8,,,,,16.06667,,,,,17,,,,,17.4,,,,,19.2,,,,,20.4,,,,,20.8,,,,,22.8,,,,,28.2,,,,,28.66667,,,,,36.66667,,,,,41.06667,,,,,48.06667,,,,,54.46667,,,,,56.26667,59.33333,60,60.66667,61.33333,62,62,62.66667,62.66667,63.33333,63.33333,66,66.66667,67.33333,67.33333,68,69.33333,70,70,70.66667,70.66667,71.33333,72,72.66667,72.66667,78.66667,78.66667,78.66667
bhr,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06667,,,,,6.66667,,,,,7.33333,,,,,8.73333,,,,,12.53333,,,,,18.06667,,,,,27.46667,,,,,35,,,,,40.66667,42,43.33333,44.66667,46,48,49.33333,50.66667,52.66667,54,55.33333,56,56,56,56,56,56,56,56,56,56,57.33333,58.66667,60,60.66667,62,62.66667,62.66667
bhs,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.66667,72.66667,72.66667,72.66667,72.66667,72.66667,72.66667,72.66667,72.66667,72.66667,72.66667,73.33333,74,74,74,74,74,74
bih,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.66667,47.33333,48,48,48.66667,49.33333,49.33333,50,50.66667,51.33333,47.33333,48,55.33333,58,61.33333,60,64.66667,64.66667
blr,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.66667,57.33333,58,58.66667,58.66667,59.33333,60,60.66667,60.66667,61.33333,62,66.66667,70.66667,75.33333,79.33333,80,80,80,80,80.66667,81.33333,82,82
blz,Belize,1.93333,,,,,2.4,,,,,2.86667,,,,,3.6,,,,,4.46667,,,,,5.53333,,,,,6.8,,,,,8.2,,,,,13.46667,,,,,17.4,,,,,21.33333,,,,,24.73333,,,,,27.66667,,,,,30.53333,,,,,32.93333,,,,,35,,,,,44.73333,,,,,46.4,,,,,47.13333,,,,,49.6,,,,,48.13333,,,,,49.8,,,,,47.2,,,,,49,,,,,54.8,56,57.33333,58.66667,59.33333,60.66667,62,63.33333,64.66667,66,67.33333,67.33333,68,68,68.66667,68.66667,68.66667,69.33333,69.33333,69.33333,70,70,70,70,70,70,70,70
bol,Bolivia,0.33333,,,,,0.4,,,,,0.46667,,,,,0.6,,,,,0.73333,,,,,0.93333,,,,,1.13333,,,,,1.4,,,,,1.73333,,,,,2.13333,,,,,2.66667,,,,,4.33333,,,,,5.73333,,,,,7.06667,,,,,9.06667,,,,,10.73333,,,,,12,,,,,13.86667,,,,,16.8,,,,,18.53333,,,,,21.8,,,,,24.33333,,,,,29.8,,,,,35.73333,,,,,42.73333,43.33333,44.66667,45.33333,46.66667,47.33333,48,48,48.66667,49.33333,49.33333,48.66667,48,47.33333,47.33333,46.66667,48.66667,47.33333,50.66667,52.66667,52,53.33333,55.33333,56,56.66667,58,59.33333,59.33333
bra,Brazil,0.66667,,,,,0.8,,,,,1.06667,,,,,1.33333,,,,,1.6,,,,,1.93333,,,,,3.13333,,,,,4.06667,,,,,5.4,,,,,6.33333,,,,,7.53333,,,,,8.4,,,,,9.4,,,,,10.13333,,,,,11.06667,,,,,11.66667,,,,,13.06667,,,,,14.53333,,,,,16.6,,,,,18.46667,,,,,20.6,,,,,18.8,,,,,19.53333,,,,,23.93333,,,,,26.93333,26,27.33333,28.66667,30,30.66667,32,33.33333,34.66667,36,37.33333,38.66667,40,41.33333,41.33333,42,42.66667,43.33333,44.66667,45.33333,46,47.33333,48.66667,49.33333,49.33333,50.66667,52,52
brb,Barbados,4.8,,,,,5.66667,,,,,6.73333,,,,,7.66667,,,,,8.6,,,,,9.13333,,,,,9.6,,,,,9.93333,,,,,10.86667,,,,,12.53333,,,,,15.46667,,,,,18.53333,,,,,21.6,,,,,24.26667,,,,,26.86667,,,,,29.86667,,,,,30.26667,,,,,31.53333,,,,,32.86667,,,,,41,,,,,52.2,,,,,47.4,,,,,41.93333,,,,,49,,,,,53.86667,54.66667,55.33333,56,56.66667,57.33333,57.33333,57.33333,57.33333,58,60,60,60.66667,60.66667,61.33333,61.33333,61.33333,62,62,62,62.66667,66,70,70,70,70,70.66667,70.66667
brn,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46667,,,,,13.26667,,,,,15.26667,,,,,17.6,,,,,23.06667,,,,,28.53333,,,,,40.66667,,,,,44.2,,,,,50.06667,50.66667,51.33333,52,53.33333,54,54,54.66667,54.66667,54.66667,55.33333,55.33333,56,56,56,56.66667,56.66667,57.33333,58,58,58.66667,58.66667,59.33333,59.33333,60,60,60.66667,60.66667
btn,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.33333,15.33333,15.33333,15.33333,15.33333,15.33333,15.33333,16.66667,18.66667,20.66667,20.66667,20.66667,20.66667
